SpecimenID,Genus,Species,Family,Unnamed: 4
1,Albizia,falcataria,,
2,Cantua,buxifolia,,
3,Cnidoscolus,tubulosus,,
4,Solanum,atitlanum,,
5,Puya,ugentiana,,
6,Pinus,monticola,,
7,Picea,engelmannii,,
8,Pinus,monticola,,
9,Pinus,strobus,,
10,Cornus,disciflora,,
11,Pinus,monticola,,
12,Pinus,strobus,,
13,Solanum,atitlanum,,
14,Salvia,sp.,,
15,Pinus,strobus,,
16,Pinus,strobus,,
17,Pinus,monticola,,
18,Pinus,strobus,,
19,Pinus,strobus,,
20,Viguiera,maculata,,
21,Pinus,monticola,,
22,Amelanchier,huronensis,,
23,Lophopetalum,beccarianum,,
24,Lophopetalum,cf. javanicum,,
25,Pinus,ponderosa,,
26,Turpinia,sp.,,
27,Prunus,campanulata,,
28,Pinus,lambertiana,,
29,Pinus,lambertiana,,
30,Pinus,lambertiana,,
31,Pinus,cembroides,,
32,Pinus,quadrifolia,,
33,Pinus,quadrifolia,,
34,Pinus,albicaulis,,
35,Pinus,albicaulis,,
36,Litsea,odorifera,,
37,Pinus,albicaulis,,
38,Pinus,albicaulis,,
39,Pinus,albicaulis,,
40,Pinus,albicaulis,,
41,Pinus,strobiformis,,
42,Pinus,ponderosa,,
43,Pinus,ponderosa,,
44,Pinus,ponderosa,,
45,Pinus,flexilis,,
46,Pinus,ponderosa,,
47,Pinus,ponderosa,,
48,Pinus,ponderosa,,
49,Pinus,ponderosa,,
50,Pinus,ponderosa,,
51,Pinus,ponderosa,,
52,Pinus,ponderosa,,
53,Pinus,ponderosa,,
54,Pinus,cembroides,,
55,Pinus,ponderosa,,
56,Pinus,ponderosa,,
57,Pinus,ponderosa,,
58,Solanum,axillifolium,,
59,Pinus,cembroides,,
60,Pinus,strobiformis,,
61,Pinus,flexilis,,
62,Pinus,flexilis,,
63,Pinus,flexilis,,
64,Vatica,dulitensis,,
65,Pinus,aristata,,
66,Pinus,aristata,,
67,Pinus,aristata,,
68,Pinus,aristata,,
69,Pinus,balfouriana,,
70,Pinus,aristata,,
71,Pinus,aristata,,
72,Pinus,balfouriana,,
73,Pinus,aristata,,
74,,,,
75,Mahonia,bealei,,
76,Solanum,brevipedicellatum,,
77,Solanum,atitlanum,,
78,Senna,pallida,,
79,Acacia,mangium,,
80,Notoptera,epaleacea,,
81,Pinus,resinosa,,
82,Pinus,resinosa,,
83,Pinus,resinosa,,
84,Pinus,resinosa,,
85,Pinus,resinosa,,
86,Pinus,resinosa,,
87,Erythrina,breviflora,,
88,Indigofera,thibaudiana,,
89,Pinus,resinosa,,
90,Solanum,chiapasense,,
91,Solanum,crinitipes,,
92,Pinus,resinosa,,
93,Pterocarpus,macrocarpus,,
94,Pinus,resinosa,,
95,Pinus,banksiana,,
96,Pinus,banksiana,,
97,Pinus,banksiana,,
98,Pinus,banksiana,,
99,Solanum,axillifolium,,
100,Pinus,banksiana,,
101,Pinus,banksiana,,
102,Solanum,brevipedicellatum,,
103,Pinus,banksiana,,
104,Pinus,banksiana,,
105,Pinus,banksiana,,
106,Pinus,banksiana,,
107,Pinus,banksiana,,
108,Pinus,banksiana,,
109,Pinus,banksiana,,
110,Pinus,banksiana,,
111,Pinus,edulis,,
112,Pinus,edulis,,
113,Pinus,edulis,,
114,Pinus,edulis,,
115,Pinus,edulis,,
116,Pinus,monophylla,,
117,Pinus,monophylla,,
118,Pinus,monophylla,,
119,Pinus,monophylla,,
120,Pinus,monophylla,,
121,Pinus,contorta,,
122,Pinus,contorta,,
123,Pinus,contorta,,
124,Pinus,contorta,,
125,Pinus,contorta,,
126,Pinus,contorta,,
127,Pinus,contorta,,
128,Pinus,contorta,,
129,Pinus,contorta,,
130,Pinus,contorta,,
131,Pinus,contorta,,
132,Pinus,jeffreyi,,
133,Pinus,jeffreyi,,
134,Pinus,jeffreyi,,
135,Pinus,jeffreyi,,
136,Pinus,jeffreyi,,
137,Pinus,jeffreyi,,
138,Pinus,jeffreyi,,
139,Pinus,torreyana,,
140,Pinus,jeffreyi,,
141,Aglaia,gigantea,,
142,Wrightia,annamensis,,
143,Pinus,taeda,,
144,Solanum,sp.,,
145,Pinus,taeda,,
146,Pinus,taeda,,
147,Pinus,taeda,,
148,Pinus,taeda,,
149,Solanum,sp.,,
150,Solanum,heterophyllum,,
151,Pinus,taeda,,
152,Pinus,taeda,,
153,Solanum,confine,,
154,Bulnesia,retamo,,
155,Bulnesia,retamo,,
156,Pinus,taeda,,
157,Solanum,sp.,,
158,Senna,versicolor,,
159,Senna,multiglandulosa,,
160,Pinus,taeda,,
161,Pinus,taeda,,
162,Pinus,taeda,,
163,Pinus,taeda,,
164,Pinus,taeda,,
165,Pinus,taeda,,
166,Pinus,taeda,,
167,Pinus,taeda,,
168,Pinus,taeda,,
169,Pinus,taeda,,
170,Pinus,taeda,,
171,Pinus,taeda,,
172,Pinus,taeda,,
173,Pinus,taeda,,
174,Pinus,taeda,,
175,Pinus,taeda,,
176,Pinus,taeda,,
177,Pinus,taeda,,
178,Pinus,taeda,,
179,Pinus,taeda,,
180,Pinus,taeda,,
181,Pinus,taeda,,
182,Pinus,taeda,,
183,Pinus,taeda,,
184,Pinus,attenuata,,
185,Pinus,attenuata,,
186,Pinus,attenuata,,
187,Pinus,attenuata,,
188,Pinus,attenuata,,
189,Pinus,attenuata,,
190,Pinus,sabiniana,,
191,Pinus,sabiniana,,
192,Pinus,sabiniana,,
193,Pineda,incana,,
194,Pinus,sabiniana,,
195,Pinus,coulteri,,
196,Pinus,coulteri,,
197,Pinus,coulteri,,
198,Pinus,coulteri,,
199,Pinus,coulteri,,
200,Pinus,coulteri,,
201,Pinus,coulteri,,
202,Pinus,muricata,,
203,Pinus,muricata,,
204,Pinus,muricata,,
205,Pinus,muricata,,
206,Pinus,rigida,,
207,Vallea,stipularis,,
208,Pinus,engelmannii,,
209,Pinus,virginiana,,
210,Pinus,virginiana,,
211,Pinus,virginiana,,
212,Pinus,virginiana,,
213,Pinus,virginiana,,
214,Pinus,virginiana,,
215,Pinus,radiata,,
216,Pinus,leiophylla,,
217,Pinus,leiophylla,,
218,Pinus,clausa,,
219,Pinus,clausa,,
220,Pinus,clausa,,
221,Pinus,clausa,,
222,Pinus,clausa,,
223,Pinus,clausa,,
224,Pinus,clausa,,
225,Pinus,clausa,,
226,Pinus,pungens,,
227,Solanum,brevipedicellatum,,
228,Pinus,pungens,,
229,Pinus,echinata,,
230,Pinus,echinata,,
231,Pinus,echinata,,
232,Pinus,echinata,,
233,Pinus,echinata,,
234,Pinus,echinata,,
235,Pinus,echinata,,
236,Pinus,echinata,,
237,Pinus,echinata,,
238,Pinus,echinata,,
239,Pinus,echinata,,
240,Pinus,echinata,,
241,Pinus,echinata,,
242,Pinus,echinata,,
243,Pinus,echinata,,
244,Pinus,echinata,,
245,Pinus,echinata,,
246,Pinus,echinata,,
247,Pinus,echinata,,
248,Pinus,echinata,,
249,Pinus,palustris,,
250,Pinus,palustris,,
251,Pinus,palustris,,
252,Pinus,palustris,,
253,Pinus,palustris,,
254,Pinus,palustris,,
