SpecimenID,Family,Genus,Species
1,Rhamnaceae,Indet.,Indet.
2,Meliaceae,Cedrela,sp.
3,Meliaceae,Cedrela,sp.
4,Leguminosae-Papil.,Gliricidia,sp.
5,Leguminosae-Papil.,Dalbergia,sp.
6,Bignoniaceae,Tabebuia,sp.
7,Leguminosae-Papil.,Diphysa,robinioides
8,Leguminosae-Papil.,Diphysa,robinioides
9,Meliaceae,Cedrela,sp.
10,Leguminosae-Mim.,Samanea,sp.
11,Compositae,Perymenium,strigillosum
12,Rutaceae,Zanthoxylum,sp.
13,Rutaceae,Zanthoxylum,sp.
14,Bignoniaceae,Tabebuia,sp.
15,Rubiaceae,Calycophyllum,candidissimum
16,Moraceae,Chlorophora,tinctoria
17,Leguminosae-Mim.,Lysiloma,sp.
18,Leguminosae-Papil.,Diphysa,robinioides
19,Indet.,Indet.,Indet.
20,Indet.,Indet.,Indet.
21,Leguminosae-Mim.,Samanea,sp.
22,Meliaceae,Cedrela,sp.
23,Leguminosae-Papil.,Diphysa,sp.
24,Simaroubaceae,Simaruba,glauca
25,Leguminosae-Papil.,Platymiscium,sp.
26,Boraginaceae,Cordia,alliodora
27,Bignoniaceae,Tabebuia,sp.
28,Hamamelidaceae,Liquidambar,styraciflua
29,Meliaceae,Swietenia,macrophylla
30,Bombacaceae,Bombacopsis,sp.
31,Moraceae,Chlorophora,tinctoria
32,Anacardiaceae,Astronium,sp.
33,Boraginaceae,Cordia,aff.megalantha
34,Leguminosae-Papil.,Platymiscium,sp.
35,Leguminosae-Papil.,Platymiscium,sp.
36,Bignoniaceae,Indet.,Indet.
37,Meliaceae,Swietenia,macrophylla
38,Boraginaceae,Cordia,aff.megalantha
39,Leguminosae,Indet.,Indet.
40,Hamamelidaceae,Liquidambar,styraciflua
41,Meliaceae,Cedrela,sp.
42,Leguminosae-Mim.,Samanea,sp.
43,Leguminosae-Papil.,Lonchocarpus,sp.
44,Meliaceae,Cedrela,sp.
45,Burseraceae,Protium,sp.
46,Meliaceae,Swietenia,macrophylla
47,Meliaceae,Cedrela,sp.
48,Leguminosae-Papil.,Dalbergia,sp.
49,Leguminosae-Papil.,Dalbergia,sp.
50,Fagaceae,Quercus,sp.
51,Boraginaceae,Cordia,aff.megalantha
52,Missing,Missing,Missing
53,Leguminosae-Papil.,Piscidia,sp.
54,Capparidaceae,Capparis,sp.
55,Leguminosae-Papil.,Diphysa,robinioides
56,Rubiaceae,Calycophyllum,candidissimum
57,Sapotaceae,Manilkara,sp.
58,Bignoniaceae,Tabebuia,pentaphylla
