SpecimenID,Family,Genus,Species
3530,Anacardiaceae,Camnosperma  ,panamensis
3531,Anacardiaceae,Camnosperma  ,panamensis
3532,Anacardiaceae,Camnosperma  ,panamensis
3533,Anacardiaceae,Camnosperma  ,panamensis
3534,Anacardiaceae,Camnosperma  ,panamensis
3535,Anacardiaceae,Camnosperma  ,panamensis
3536,Anacardiaceae,Camnosperma  ,panamensis
3537,Anacardiaceae,Camnosperma  ,panamensis
3538,Anacardiaceae,Camnosperma  ,panamensis
3539,Anacardiaceae,Camnosperma  ,panamensis
3540,Anacardiaceae,Camnosperma  ,panamensis
3541,Anacardiaceae,Camnosperma  ,panamensis
3542,Anacardiaceae,Camnosperma  ,panamensis
3543,Anacardiaceae,Camnosperma  ,panamensis
3544,Anacardiaceae,Camnosperma  ,panamensis
3545,Anacardiaceae,Camnosperma  ,panamensis
3546,Anacardiaceae,Camnosperma  ,panamensis
3547,Anacardiaceae,Camnosperma  ,panamensis
3548,Lecythidaceae,Cariniana,pyriformis
3549,Lecythidaceae,Cariniana,pyriformis
3550,Lecythidaceae,Cariniana,pyriformis
3551,Lecythidaceae,Cariniana,pyriformis
3552,Lecythidaceae,Cariniana,pyriformis
3553,Lecythidaceae,Cariniana,pyriformis
3554,Lecythidaceae,Cariniana,pyriformis
3555,Lecythidaceae,Cariniana,pyriformis
3556,Lecythidaceae,Cariniana,pyriformis
3557,Lecythidaceae,Cariniana,pyriformis
3558,Lecythidaceae,Cariniana,pyriformis
3559,Anacardiaceae,Camnosperma,panamensis
3560,Anacardiaceae,Camnosperma,panamensis
3561,Anacardiaceae,Camnosperma,panamensis
3562,Anacardiaceae,Camnosperma,panamensis
3563,Anacardiaceae,Camnosperma,panamensis
3564,Anacardiaceae,Camnosperma,panamensis
3565,Anacardiaceae,Camnosperma,panamensis
3566,Anacardiaceae,Camnosperma,panamensis
3567,Anacardiaceae,Camnosperma,panamensis
3568,Lecythidaceae,Cariniana ,pyriformis
3569,Lecythidaceae,Cariniana ,pyriformis
3570,Lecythidaceae,Cariniana ,pyriformis
3571,Lecythidaceae,Cariniana,pyriformis
3572,Lecythidaceae,Cariniana,pyriformis
3573,Lecythidaceae,Cariniana,pyriformis
3574,Lecythidaceae,Cariniana,pyriformis
3575,Lecythidaceae,Cariniana,pyriformis
3576,Lecythidaceae,Cariniana,pyriformis
3577,Lecythidaceae,Cariniana,pyriformis
3578,Lecythidaceae,Cariniana,pyriformis
3579,Lecythidaceae,Cariniana,pyriformis
3580,Lecythidaceae,Cariniana,pyriformis
3581,Lecythidaceae,Cariniana,pyriformis
3582,Lecythidaceae,Cariniana,pyriformis
3583,Lecythidaceae,Cariniana,pyriformis
3584,Lecythidaceae,Cariniana,pyriformis
3585,Lecythidaceae,Cariniana,pyriformis
3586,Lecythidaceae,Cariniana,pyriformis
3587,Lecythidaceae,Cariniana,pyriformis
3588,Lecythidaceae,Cariniana,pyriformis
3589,Lecythidaceae,Cariniana,pyriformis
3590,Lecythidaceae,Cariniana,pyriformis
3591,Lecythidaceae,Cariniana,pyriformis
3592,Lecythidaceae,Cariniana ,pyriformis
3593,Lecythidaceae,Cariniana ,pyriformis
3594,Lecythidaceae,Cariniana ,pyriformis
3595,Lecythidaceae,Cariniana ,pyriformis
3596,Lecythidaceae,Cariniana ,pyriformis
3597,Lecythidaceae,Cariniana ,pyriformis
3598,Lecythidaceae,Cariniana ,pyriformis
3599,Lecythidaceae,Cariniana ,pyriformis
3600,Lecythidaceae,Cariniana ,pyriformis
3601,Lecythidaceae,Cariniana ,pyriformis
3602,Lecythidaceae,Cariniana ,pyriformis
3603,Lecythidaceae,Cariniana ,pyriformis
3604,Lecythidaceae,Cariniana ,pyriformis
3605,Lecythidaceae,Cariniana ,pyriformis
3606,Lecythidaceae,Cariniana ,pyriformis
3607,Lecythidaceae,Cariniana ,pyriformis
3608,Lecythidaceae,Cariniana ,pyriformis
3609,Lecythidaceae,Cariniana ,pyriformis
3610,Lecythidaceae,Cariniana ,pyriformis
3611,Lecythidaceae,Cariniana ,pyriformis
3612,Lecythidaceae,Cariniana ,pyriformis
3613,Lecythidaceae,Cariniana ,pyriformis
3614,Lecythidaceae,Cariniana ,pyriformis
3615,Lecythidaceae,Cariniana ,pyriformis
